Nombre,Posicion,Equipo,Estado,% Titular,% Jugado,Forma Jugado,Promedio Picas,Promedio Sofas,Promedio Media,Total Puntos Medias,Forma Puntos Medias,Valor [En miles],Comparativo
Sergio Herrera,PT,Osasuna,Disponible,100%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,3030.0,0.99
David García,DF,Osasuna,Disponible,100%,100%,3,4.666666666666667,5.0,5.333333333333333,16.0,16.0,5210.0,1.024
Juan Cruz,DF,Osasuna,Disponible,100%,100%,3,3.3333333333333335,3.3333333333333335,3.6666666666666665,11.0,11.0,1280.0,2.865
Rubén Peña,DF,Osasuna,Lesionado,100%,100%,3,4.666666666666667,4.666666666666667,5.0,15.0,15.0,2620.0,1.908
Unai García,DF,Osasuna,Disponible,100%,100%,3,3.3333333333333335,4.666666666666667,4.333333333333333,13.0,13.0,1540.0,2.814
Aimar Oroz,MC,Osasuna,Disponible,100%,100%,3,7.0,4.666666666666667,6.0,18.0,18.0,3370.0,1.78
Kike Barja,MC,Osasuna,Disponible,33%,67%,2,2.0,1.5,2.0,4.0,4.0,470.0,4.255
Moi Gómez,MC,Osasuna,Disponible,100%,100%,3,6.0,6.333333333333333,6.333333333333333,19.0,19.0,4810.0,1.317
Moncayola,MC,Osasuna,Disponible,100%,100%,3,3.3333333333333335,4.333333333333333,4.333333333333333,13.0,13.0,3780.0,1.146
Torró,MC,Osasuna,Disponible,100%,100%,3,4.666666666666667,3.6666666666666665,4.333333333333333,13.0,13.0,3170.0,1.367
Chimy Ávila,DL,Osasuna,Disponible,100%,100%,3,6.666666666666667,7.0,7.0,21.0,21.0,7630.0,0.917
Nacho Vidal,DF,Osasuna,Disponible,33%,100%,3,2.0,3.0,2.6666666666666665,8.0,8.0,2070.0,1.288
Brasanac,MC,Osasuna,Disponible,0%,67%,2,2.0,4.0,3.0,6.0,6.0,1120.0,2.679
Manu Sánchez,DF,Osasuna,Disponible,0%,67%,2,2.0,3.5,3.0,6.0,6.0,1360.0,2.206
Pablo Ibáñez,MC,Osasuna,Disponible,0%,33%,1,2.0,3.0,3.0,3.0,3.0,160.0,18.75
Kike García,DL,Osasuna,Disponible,0%,100%,3,4.333333333333333,5.666666666666667,5.0,15.0,15.0,2190.0,2.283
Bono,PT,Sevilla,Disponible,100%,100%,3,4.666666666666667,2.3333333333333335,3.6666666666666665,11.0,11.0,4720.0,0.777
Acuña,DF,Sevilla,Disponible,67%,67%,2,3.0,6.0,4.5,9.0,9.0,3830.0,1.175
Jesús Navas,DF,Sevilla,Disponible,67%,67%,2,0.0,0.5,0.5,1.0,1.0,2550.0,0.196
Rekik,DF,Sevilla,Lesionado,100%,100%,3,3.6666666666666665,5.0,4.666666666666667,14.0,14.0,2180.0,2.141
Fernando,MC,Sevilla,Disponible,100%,100%,3,0.6666666666666666,5.333333333333333,3.3333333333333335,10.0,10.0,4310.0,0.773
Gudelj,MC,Sevilla,Disponible,33%,33%,1,-2.0,4.0,1.0,1.0,1.0,270.0,3.704
Papu Gómez,MC,Sevilla,Disponible,100%,100%,3,3.3333333333333335,5.333333333333333,4.666666666666667,14.0,14.0,4780.0,0.976
Tecatito,MC,Sevilla,Lesionado,33%,33%,1,-2.0,2.0,0.0,0.0,0.0,2430.0,0.0
Thomas Delaney,MC,Sevilla,Disponible,33%,67%,2,2.0,4.0,3.5,7.0,7.0,1020.0,3.431
Rafa Mir,DL,Sevilla,Disponible,100%,100%,3,3.0,3.6666666666666665,3.6666666666666665,11.0,11.0,3960.0,0.926
Erik Lamela,MC,Sevilla,Disponible,67%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,3120.0,0.962
En-Nesyri,DL,Sevilla,Disponible,0%,100%,3,0.6666666666666666,2.3333333333333335,1.6666666666666667,5.0,5.0,3230.0,0.516
Alex Telles,DF,Sevilla,Disponible,33%,100%,3,2.0,3.6666666666666665,3.3333333333333335,10.0,10.0,2950.0,1.13
Rakitic,MC,Sevilla,Disponible,0%,67%,2,0.0,2.5,1.5,3.0,3.0,2330.0,0.644
Marchesín,PT,Celta,Disponible,100%,100%,3,3.3333333333333335,2.3333333333333335,3.0,9.0,9.0,2940.0,1.02
Aidoo,DF,Celta,Disponible,100%,100%,3,2.0,3.0,2.6666666666666665,8.0,8.0,1650.0,1.616
Galán,DF,Celta,Disponible,100%,100%,3,6.0,2.6666666666666665,4.333333333333333,13.0,13.0,5550.0,0.781
Hugo Mallo,DF,Celta,Disponible,100%,100%,3,3.3333333333333335,2.6666666666666665,3.0,9.0,9.0,2410.0,1.245
Unai Núñez,DF,Celta,Disponible,100%,100%,3,3.3333333333333335,4.0,4.0,12.0,12.0,2490.0,1.606
Augusto Solari,MC,Celta,Disponible,33%,67%,2,2.0,3.5,3.0,6.0,6.0,380.0,7.895
Fran Beltrán,MC,Celta,Disponible,100%,100%,3,4.666666666666667,3.3333333333333335,4.0,12.0,12.0,3310.0,1.208
Óscar,MC,Celta,Disponible en observación,100%,100%,3,3.3333333333333335,5.0,4.333333333333333,13.0,13.0,3760.0,1.152
Franco Cervi,DL,Celta,Disponible,100%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,1920.0,1.562
Gonçalo Paciência,DL,Celta,Lesionado,67%,100%,3,5.666666666666667,4.666666666666667,5.333333333333333,16.0,16.0,3640.0,1.465
Iago Aspas,DL,Celta,Disponible,100%,100%,3,11.666666666666666,10.0,11.333333333333334,34.0,34.0,16240.0,0.698
Tapia,MC,Celta,Disponible,67%,100%,3,2.0,4.0,3.0,9.0,9.0,1330.0,2.256
Carles Pérez,DL,Celta,Disponible,33%,100%,3,2.0,3.6666666666666665,3.3333333333333335,10.0,10.0,2700.0,1.235
Mingueza,DF,Celta,Disponible,0%,33%,1,-2.0,-6.0,-4.0,-4.0,-4.0,1050.0,-3.81
Lecomte,PT,Espanyol,Disponible,100%,100%,3,-1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,2140.0,0.0
Brian Olivan,DF,Espanyol,Disponible,100%,100%,3,3.3333333333333335,3.0,3.3333333333333335,10.0,10.0,1510.0,2.208
Cabrera,DF,Espanyol,Disponible,100%,100%,3,2.0,4.666666666666667,3.6666666666666665,11.0,11.0,2550.0,1.438
Calero,DF,Espanyol,Disponible,67%,100%,3,2.0,3.6666666666666665,3.0,9.0,9.0,680.0,4.412
